序号,Measured,Predicted,,,,,,,,,,,,,,,,,,,,
no,1,0.42674619423022053,,,,,,,,,,,,,,,,,,,,
no,1,0.7607466321533548,,,,,,,,,,,,,,,,,,,,
no,0,0.16936358275311508,,,,,,,,,,,,,,,,,,,,
no,0,0.5752390300879006,,,,,,,,,,,,,,,,,,,,
no,0,0.4812079728860297,,,,,,,,,,,,,,,,,,,,
no,0,0.4264340829689881,,,,,,,,,,,,,,,,,,,,
no,0,0.41881633166737053,,,,,,,,,,,,,,,,,,,,
no,1,0.4321435464491656,,,,,,,,,,,,,,,,,,,,
no,0,0.424072646846413,,,,,,,,,,,,,,,,,,,,
no,0,0.40793510222996876,,,,,,,,,,,,,,,,,,,,
no,0,0.41239426661789025,,,,,,,,,,,,,,,,,,,,
no,1,0.45498110031031025,,,,,,,,,,,,,,,,,,,,
no,1,0.483419013139995,,,,,,,,,,,,,,,,,,,,
no,1,0.5197120348489827,,,,,,,,,,,,,,,,,,,,
no,1,0.427150445960936,,,,,,,,,,,,,,,,,,,,
no,0,0.4263481135593003,,,,,,,,,,,,,,,,,,,,
no,0,0.4251814886996458,,,,,,,,,,,,,,,,,,,,
no,1,0.42647714302521234,,,,,,,,,,,,,,,,,,,,
no,0,0.686606706025451,,,,,,,,,,,,,,,,,,,,
no,1,0.43002755031201656,,,,,,,,,,,,,,,,,,,,
no,0,0.4527046150501672,,,,,,,,,,,,,,,,,,,,
no,0,0.38781367034302183,,,,,,,,,,,,,,,,,,,,
no,1,0.5342103978854723,,,,,,,,,,,,,,,,,,,,
no,1,0.6840034633013776,,,,,,,,,,,,,,,,,,,,
no,1,0.6452000846769632,,,,,,,,,,,,,,,,,,,,
no,1,0.7974913363584919,,,,,,,,,,,,,,,,,,,,
no,1,0.6723919967794528,,,,,,,,,,,,,,,,,,,,
no,0,0.4371426658645205,,,,,,,,,,,,,,,,,,,,
no,0,0.42275551879390033,,,,,,,,,,,,,,,,,,,,
no,1,0.762676789687087,,,,,,,,,,,,,,,,,,,,
