sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,right ear wenli variance998,face wenli variance559,right ear wenli mean928,face wenli variance1454,face wenli variance935,face wenli variance863
0,-0.008296652696286823,6.13282147599951e-05,0.0006422977919940836,-0.0002948451702400996,0.000677303598837896,0.0013346748430582242,-0.006810852331838596,0.0018292590152580769,-0.026722918353887095,-0.00011271985498487359,-0.0011855571779060654,-0.0009642160303509569,0.0049318943836700385,0.024754254530136934,0.001057419307193419,-0.0015113575935636252,0.01208007278062897
1,-0.0024918973171379885,-0.0006082761109288578,-0.0001353185126610002,0.002670570113027089,-0.001484130788460043,0.0008219303198853535,0.005906020768176585,0.002030698958635094,-0.008972426188353066,0.00014415579592208503,-0.005247507988744277,-0.00995981366385467,0.009749926021550816,0.009331596252198347,-0.002782070008547016,0.0006784359768929084,-0.015743603797735463
2,0.009109772798343678,-0.0004914856507596595,3.110861506709426e-07,0.002153350910225106,-0.0011071396206411017,-0.00788447037706809,-0.03321346634169104,0.001480466225956748,-0.004143109332345932,3.719388870838803e-05,-0.00039089885284904105,-0.013660534209283407,0.018196333050336314,-0.04007460808749221,0.020898260848875947,-0.01244550952182441,-0.04923271507199353
3,0.0045076602423335,0.0007776828488292145,0.0014742055649828397,-0.003467299257842929,0.002989644604079431,-0.01720728811067069,-0.0045832590519991135,0.001788082755154742,-0.030842898015762416,-0.00016138003926237078,-0.009726811840666321,0.01924970201871635,0.01372712507514123,0.03613312453931146,0.031973710798127206,-0.0025158772422575206,-0.028007037015044475
4,-0.005873895493785477,-0.00040600424748023125,9.958125270238412e-05,0.001774787257042059,-0.0008312118265179598,0.00097681849219302,0.006140978892047727,0.0018151567952198497,-0.01068241112090336,1.075797314418261e-05,-0.000313825810862535,0.0008877802815081649,0.006610513057379977,-0.032931065408074625,-0.003249364688404692,0.00879015437895631,0.0022815852617650684
5,0.00685404113213067,-0.0001877792678507134,0.00035300748627452126,0.0008083542981176776,-0.00012679735808782502,0.0011439226443494992,-0.011250084333127325,0.0017021641964512831,-0.011940358527879589,0.0002587230323665641,0.0031640322406072956,0.007885774119269813,0.011175685620999545,0.016860168688866563,0.010474633519011631,-0.005864276071237087,-0.010835603570458348
6,-0.002979290633747071,0.0002366418711863672,0.0008458907982453513,-0.001071240686498742,0.0012432034161263745,0.001468919969204262,-0.04397149623860168,0.0019321303399580901,-0.009323909820467772,4.016988710304165e-05,2.3683588686248657e-05,0.037577594141713695,0.0037178661777291892,0.03885258887835757,0.0028750258008524857,-0.0019410193902026178,0.005731633592803853
7,0.0009664357704216576,-0.00038911271270046423,0.00011919751315871033,0.0016999812656945123,-0.0007766871725894356,0.0009897530590917624,-0.0060665374991114105,0.0017866967427911777,-0.010435235090940489,-3.1184460371113415e-05,-0.0009248689476575641,0.0047792629912149515,0.004104771026297508,0.019826933096472626,0.005041813998760516,-0.004459726473948296,-0.013431896286582723
8,0.01181355894052565,-0.0011314871351930619,-0.0007429272266945882,0.004987666804615531,-0.0031730181750441004,0.00042128537650158244,-0.013324573310402103,0.0014811096977921689,-0.004838000435449085,1.0618745149111189e-05,-0.00037855709122375843,-0.0014900390114742175,0.00902333699490866,-0.012027378891330707,0.014713367333774482,-0.005868720848443743,-0.02955693182365841
9,-0.000951147473454581,-0.0006485427998988079,-0.0001820805072841624,0.0028488955065424566,-0.0016141087513603652,0.0007910964028338061,-0.005800958514727329,0.0015818416890216005,-0.0069276786896818685,0.00014325081395412018,-0.002571864442918377,-0.015047568196204043,0.009126917820509573,-0.005947198626217189,0.006249987726898597,-0.0008001932405060421,-0.01637406948259548
10,-0.002575507522258176,-0.0005022348092558746,-1.2171988685172617e-05,0.002200954722900816,-0.0011418371276865251,0.000903130656527458,0.006029197886680099,0.001752791516515977,-0.007467757746406993,0.00039319987210627066,0.0018812446496357055,-0.00368527633590229,0.006484083520249373,0.015380271548036478,-0.0030561575206358104,-0.0035766974022351174,-0.008672756012675207
11,-0.004879645735383271,0.0002857808814547809,0.0009029562832092102,-0.0012888581158734269,0.0014018205911911748,0.0015065478001824214,0.0069445535130815104,0.001550151952156994,-0.006606224727107058,8.735077393290387e-05,-0.0013145159932560508,-0.0030661991235281607,0.009428520812700701,-0.05447962797733174,-0.005855145734954253,-0.00931934955317532,-0.015130651048566259
12,0.0021728511534003328,-0.0005213444243602578,-3.4364121726673505e-05,0.0022855837232131936,-0.00120352158465617,0.0008884976111470625,0.006007000240224116,0.0018248274089106556,-0.007528385829228074,0.00017128785146164804,-0.00015338290973374879,-0.010159410439514398,-0.0011443396357755358,-0.02660386387943898,-0.0030009375032851995,0.001468124727267307,0.002215911752925554
13,0.015516281095669835,-0.00044686811192219336,5.212575392167505e-05,0.001955757306817188,-0.000963117428698583,0.0009455272924733354,-0.003873231655315545,0.0014881952734828454,-0.005195285253724911,0.00024098886649432882,0.0016114890026828993,-0.004564810980120888,0.004135235975003709,-0.020365322352834964,-0.0033928864191496736,-0.005052363434829658,-0.014614019445694947
14,-1.8957573612511173e-05,0.0003466927796000021,0.0009736937072789936,-0.0015586130543691296,0.001598439797781916,0.0015531906323324317,-0.008760083161254612,0.0016189315143864623,-0.007352757761918978,0.0002673203610622305,0.0032403496645351166,-0.002631012711024181,-0.004024800535943843,-0.03477536073335554,-0.006068352863449209,-0.0020106542331061223,0.009615127082183868
15,-0.006405902810394638,0.0003419153758239062,0.0009681456740186184,-0.0015374558042910349,0.0015830186835395048,0.0015495323709873326,-0.004609420563893663,0.0017569467056029976,-0.006299785599302196,0.0004571403288428673,-0.0011855571779060654,-0.00448595389334385,-0.004376670693500073,0.0033002068687060103,-0.005964705268239863,0.008594584181865518,0.018270895547238965
16,-0.00612860217346604,0.000589487264363727,0.0012556526833330606,-0.002633854727980855,0.0023821628537444516,0.0017391086999779906,-0.007821836211945469,0.0017020439527708027,-0.006582564987469565,4.495584943362543e-05,0.003777594104264632,-0.0034850251445846595,-0.0011504326255166915,-0.009020187753238516,-0.006790741382001734,0.0026563618338344376,0.018323434354310674
17,0.0001926048696839377,0.0003803052275961047,0.0010127280841466333,-0.0017074694209900088,0.0017069383515588802,0.0015789291139390203,-0.003959743018512299,0.0013924998077989702,-0.004211244832551986,0.00023413188773705623,0.006045959516455924,-0.007431478769555128,0.006971522699548067,-0.019338204593449513,0.0010165388843256557,-0.0056450003957110185,-0.004754236651914052
18,-0.008428132652671113,0.0006217347398523736,0.0012931019078405931,0.14299640906402508,-0.09087537326499638,-0.017131640492141675,0.0054288704660089135,0.0012862153196467612,-0.013199102176093618,0.0004637014481106128,0.011677580907882205,-0.004642686443411082,0.0001382347047542225,-0.015569039286953284,0.004556028789174958,-0.0012431893687648368,0.017539730482158542
19,-0.005991510846617724,8.146155924497014e-05,0.0006656787893056647,-0.0003840078669977832,0.000742292580288057,0.001350091801583998,0.006707217069947225,0.0014755540954190587,-0.022291949614276635,0.0003322180102649438,0.006966554184628166,0.007710717930781377,0.000249431767531726,0.012082286755482001,0.0005833321878438684,0.002143730862672056,0.01510105418724905
20,-0.0016836650963681942,0.00011601242583994877,0.0007058029584208783,-0.0005370201220268596,0.0008538202815054952,0.0013765488702405166,-0.006825320440689369,0.0014448299283419484,-0.004746887688095079,0.00046892249792579476,0.007037330409458913,-0.0023234373518108116,0.0031207531830882576,-0.0061345556116425524,0.0033179180129060196,0.002038537802115636,-0.0019127628361221907
21,-0.004824200883831145,0.0005370211336083894,0.0011947233894914402,-0.002401502785158925,0.0022128059741179725,-0.012199324307516723,-0.005910955780647602,0.0011969546527691736,-0.006053292061828871,0.00048542101534177027,0.011871522876279636,-0.01802843151794196,0.0025662911166360073,-0.027250412762179165,0.00013364753629846067,0.0021037278678125667,0.011051187808809107
22,0.012343892339854813,0.00019287744016606117,0.0007950668506994145,-0.0008774251634619131,0.0011019349945842875,0.0014354076822393387,-0.011224220111140664,0.0013153828033153638,-0.005204043907340713,0.0006713600027597882,0.01595286788395759,0.006279183679123481,0.007375183269904839,0.020926818970733112,0.010133124755670157,-0.0026462573736513815,-0.02432056405218324
23,0.017471936142586162,-0.0013730872690127629,-0.0010234991944335612,0.0060576191657077325,-0.003952885952446033,-0.0050287401145503105,-0.03544650993650855,0.0012822384123715596,-0.029362230559698613,0.000242677005934571,0.004659652251443613,0.0008553867064420545,0.019408838008841894,0.030394480445546265,0.03836237749798492,-0.01219215722104767,-0.0566932256761686
24,-0.005266289218808127,0.0002250396048729919,0.0008324170031844405,-0.001019858793451942,0.0012057521386805202,0.001460035620223308,0.0006685653641961426,0.0013608782460279268,-0.024329530941807627,0.0004830193324267865,0.007120448395914954,0.0028349940715918227,0.012145994237291048,0.033611054167052797,-0.001982197365420511,-0.001114290829773139,0.01029813157411535
25,0.0005715918768847936,0.00032161140977549963,0.0009445665326620244,-0.0014475374914591362,0.001517478948009259,0.0015339847602706628,-0.005946630569594718,0.0016466257434547063,-0.02865175587808422,0.0005823585069103175,0.0071008023263889886,0.002420748960140652,-0.0015007795356376545,0.04914634968027687,-0.005798290500688934,0.006552949851629221,-0.0021185398304860176
26,-0.004434399443030282,0.0005100629265861349,0.0011634166303793234,-0.002282115445432537,0.0021257868294643676,-0.010024095981282774,-0.042484749409230624,0.0013821085848173408,-0.006358821199647678,0.0004971335704271619,0.012238753252803615,0.00016694143433046725,0.0073508113109398785,0.03556854433769485,0.0021332662511564632,7.394627679399141e-05,-0.011251535793109009
27,-0.002962299481075023,0.00040862840712581534,0.0010456199956188576,-0.0018329016893101392,0.0017983635288531742,0.0016006173776278204,-0.0009456197390248804,0.0015047115547583512,-0.010721654439052089,0.00010405813334148659,-0.0004218791932553945,-0.009700010647668067,0.00286789410882705,0.00364397348035702,0.03943294143345428,0.002306706026914424,0.0016773889804411503
28,0.007552777034244228,7.241179152053931e-06,0.0005794861297248367,-5.531487471310447e-05,0.0005027145554505997,0.0012932580985440699,-0.0021028702538149276,0.0015615507730933102,-0.010496431917502859,0.00033286193974214976,0.0035645098117136954,0.0029871457120537633,0.006066713722974853,0.019472850698421723,-0.00010723249383005911,-0.003006284327386788,-0.0113872610447108
29,-0.0031678900727874822,0.0001991051272313292,0.0008022991083424039,-0.0009050051501708589,0.0011220375185074316,0.001440176487207057,0.006843871330941872,0.001375682169117908,-0.036365968487390134,0.00014269390197383403,0.0052953789114892355,0.005483414239116173,-0.0017703943316873148,0.008247881070132312,-0.005467347754334816,0.0009495673864961886,0.002303476431378402
