sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance455,face wenli variance1007,left ear wenli variance894,left ear wenli mean217,right ear wenli mean200
0,-0.035821766068936625,0.00020748989317540993,0.002380399431078919,-0.0005484907954653888,-2.7885342480757165e-05,0.0027479188386102366,0.01040124466919522,-0.0018243514542928892,-0.012790280112689043,-0.002175330877532746,0.003168691174374111,-0.0025712601974909946,0.0024963562385596745,0.0884724288816956,-0.013247833495577739,0.020811479782044125
1,-0.01075905742110648,-0.002057962159369933,-0.0005014996385907823,0.004967973952049181,6.110331525397601e-05,0.0016922457344461773,-0.00901942430083048,-0.002025250971850107,-0.004294435312779739,0.0027819992678903135,0.01402524699884959,0.007635251967375426,-0.05182149167976383,0.013053021036384919,-0.011533811902666832,0.01843761289248092
2,0.03933250698435021,-0.0016628285296165165,1.1529064949369525e-06,0.0040058080405512295,4.5582169574418186e-05,-0.016233080884303894,0.05072219641543031,-0.0014764944110304955,-0.0019829993190280597,0.0007177884905346141,0.0010447726758176323,0.00559519815490884,-0.01680163909113113,-0.011768341079487796,-0.01201668269751814,0.02213988610206231
3,0.019462349049681683,0.0026311108493766154,0.005463506385852332,-0.006450103037136925,-0.0001230869935189219,-0.03542752858993027,0.00699935873800945,-0.0017832856624201822,-0.01476220897300763,-0.0031144023603649216,0.025997280779619235,-0.000992715733842765,0.005509955736382002,0.10353411459806408,-0.013122266402258394,-0.03627048462213456
4,-0.025361229160036445,-0.0013736218846107271,0.0003690549153889427,0.0033015784983153247,3.4221915395516044e-05,0.0020111399795695027,-0.009378242377383772,-0.0018102870678823795,-0.005112878343071547,0.00020761338952528737,0.0008387761431525859,-0.0012837403596324892,0.031218699088712897,0.013523433139644313,-0.014409541269795706,-0.015407631574532347
5,0.029593122316900037,-0.0006353079146258901,0.0013082698243219403,0.0015037549763198767,5.2203882601551775e-06,0.0023551853102424126,0.017180651407009584,-0.0016975976071945586,-0.0057149645182858816,0.00499298194724804,-0.008456649095537637,0.0023622315198982054,-0.014525914864290864,0.04126275003418352,-0.01371907341646613,-0.06420766653023591
6,-0.012863434934576177,0.0008006232818848872,0.0031349290002178217,-0.001992793898553994,-5.1184067368625276e-05,0.003024311784088278,0.067151403167308,-0.0019269467944038837,-0.004462664472867657,0.0007752209739267074,-6.330017636110062e-05,0.0008754126396259448,-0.013313169369409671,0.10195940883263672,-0.014664389233316604,-0.04615166273127452
7,0.004172699202437525,-0.0013164732661365302,0.00044175411475123,0.0031624193672148194,3.197707474938572e-05,0.0020377705407396496,0.009264558640940567,-0.0017819033684694375,-0.004994573500071206,-0.0006018151775796961,0.0024719381962422697,0.006425530791856747,-0.025323733186184954,0.009179244853433622,-0.015353518899273748,0.0037796984938755123
8,0.05100641913075385,-0.0038281261851388967,-0.002753338980453987,0.009278392896692687,0.0001306366873889128,0.0008673708270900576,0.020348722944152825,-0.0014771361565509248,-0.002315592179538446,0.00020492648971747197,0.0010117863029399164,0.002403532044350201,-0.0013354811835198535,0.029218000601736915,-0.017025069923913956,-0.008135765931015199
9,-0.004106690196445005,-0.002194195229672061,-0.0006748027805049244,0.0052997068302281704,6.645465255182212e-05,0.0016287627805456246,0.008858977685578771,-0.0015775979026242688,-0.00331576625720031,0.0027645344191395017,0.006873935997212402,0.004478163040078967,-0.014913116739162553,-0.010192635500876077,-0.016027076790840908,-0.045664100844865926
