sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance951,left ear wenli variance246,left ear wenli mean214,right ear wenli mean1184
0,0.07277296897092057,2.851442232954871e-05,3.266074865341345e-06,0.020097404636184802,-0.021601239350429652,-0.002323368054867621,-0.024616960480395553,0.08813432042590719,-0.045118135085077116,0.034749631921907775,-0.032478046087307796,0.02782259195781329,0.0015620772664782761,-0.016719399027393417,0.02305346921990232
1,0.011211827972896826,-0.0019052137690013082,-0.00021442602447284658,-4.2285909056638395e-05,-0.00788734819717838,-0.001326959176708051,0.03670226926733543,0.09864878087656918,-0.01003894314320783,0.006143752226861991,-0.0871091422535513,0.11998113252933491,-0.03633547797789009,0.00875777572000534,0.011911109642068972
2,-0.11182730169606987,-0.0015679384608178536,-0.00017645679476282258,0.0034704209779908143,-0.010279285640011982,0.01559206103549669,-0.15192718380949916,0.06992855682657467,-0.0004950650715384782,0.018055116495544334,-0.021790310711571496,0.0621029793239885,0.007790943004970819,-0.020051474615199995,-0.031094276019057166
3,-0.06302054216112102,0.002097251283408058,0.0002361569600918372,0.04164320429326118,-0.03627260436684589,0.03370895539400207,-0.013875774102525993,0.08598506367421926,-0.05326019424646453,0.04016846929503435,-0.14735341671380275,-0.02309009015782493,-0.0007506598571046603,-0.07279480528569074,0.07994537918622815
4,0.047078915043529616,-0.0013210795427756154,-0.0001486663139962453,0.006041445302915262,-0.012029995148937682,-0.0016279510801500614,0.037835209028976455,0.08739823386644587,-0.013418279845944913,0.02099904137743964,-0.020753718944542972,-0.02999974817790431,0.017577066809817257,-0.04155850795467887,-0.05245400150465621
5,-0.08790460279022759,-0.0006908748398294656,-7.772015651031275e-05,0.012604998419838132,-0.01649937132042663,-0.0019526821172671696,-0.0460224022780477,0.08150041543454713,-0.015904282945497183,-0.006614547639837644,0.026021637653924783,0.05370869365177652,0.00012474522406695826,-0.08290550370207121,-0.00147730228809697
6,0.01638077769178503,0.0005347969338832391,6.026152194649524e-05,0.025370313805565772,-0.025191766337298218,-0.0025842446308158846,-0.20380110766589388,0.09350384375346836,-0.010733558350515588,0.017723706913711505,-0.01621439552029998,0.020957584393437836,0.026855336138931988,-0.07034296298599381,0.12686241202776613
7,-0.02546481331781819,-0.0012722990380127789,-0.00014317478186871816,0.006549492025804515,-0.012375943734533771,-0.0016530866334531055,-0.021027964044425158,0.0859127186768145,-0.012929801255174754,0.025669784606779766,-0.028971926875299214,0.07870178623167434,0.013853606998533519,-0.03319463869737793,0.06318738354259881
8,-0.14050175032576803,-0.003416177585720909,-0.0003845248453724653,-0.0157789048559245,0.0028283218809067355,-0.0005483917605081975,-0.056025338157505024,0.06996214380565749,-0.0018683350720054986,0.021014545919279766,-0.021624320526655267,0.03247740196487781,-0.014319865503308125,-0.05570794811974272,0.016888697097654396
9,-0.005128278056443806,-0.002021498608637971,-0.00022751694954452768,-0.0012533871878633617,-0.00706266267999981,-0.001267040079945238,-0.019747374183101688,0.0752200014089829,-0.005998036034287338,0.00624453174882285,-0.05112314767464609,0.01494093548742387,0.0016965470001758052,-0.05493557440355637,-0.024341973783052428
