sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,left ear wenli variance1088,left ear wenli variance262,left ear wenli mean904,face wenli variance535,left ear wenli variance872,left ear wenli variance848,face wenli variance1167
0,-0.014959428781658634,-4.219035898065388e-07,-6.291564785597627e-05,-0.000180750214460498,0.0006032424298088959,-0.0011120735055773162,0.0019300784012436882,0.028807882141626003,0.02513309236930684,-0.002173300498961114,0.0014978636130323145,-0.005512820315923167,-0.015328186584073415,-0.010966731492005768,-0.007664309251699669,-0.1089160766356277,0.021507121092532052,0.024426948083461283
1,-0.004493060251107714,4.18459718416343e-06,1.32549916831294e-05,0.001637151187751739,-0.0013218454242985725,-0.0006848461533003626,-0.0016736646995952546,0.03198023668464965,0.008438629837592701,0.002779402646034688,0.0066298373641656685,-0.0002951587112467184,0.009560194331510586,-0.010686727721733895,-0.02632617726944848,-0.07283900248669625,0.009098079591878624,0.032276472653612005
2,0.016425539598024185,3.3811445711471382e-06,-3.047213761660337e-08,0.0013200780549158945,-0.0009860771388771027,0.006569473199746308,0.0094121250752807,0.023314957693950627,0.003896623421402661,0.0007171185315940237,0.0004938717245951703,0.0073296856681605484,-0.002912175863277124,-0.010123352238702418,-0.024264527491681603,0.023183056823364846,0.004244872140453573,0.0013364129920910336
3,0.008127617828004464,-5.350020165042347e-06,-0.00014440435472435072,-0.0021255735135274068,0.0026627357042311693,0.014337401585292068,0.0012988167813029225,0.02815942238923689,0.029007962173207433,-0.0031114954849643865,0.012289105745771401,-0.00903125852133581,0.006559749859709938,-0.004815242606165517,-0.013915893690452132,-0.06976144023258449,0.0120839420260416,-0.011233603699422699
4,-0.010591032857084135,2.7930806425552253e-06,-9.754383568140766e-06,0.0010880055354845443,-0.0007403212426080634,-0.0008139015810298384,-0.0017402477905192081,0.028585794897879817,0.010046882674755528,0.00020741961037121492,0.0003964956492031775,-0.0031151078957239973,-0.00215885616141161,-0.007305661871910083,0.0038373137984083383,-0.050808102408981655,0.015209593739555676,0.025556776677196923
5,0.012358302069044815,1.2918156432157966e-06,-3.457850077301175e-05,0.000495548943962197,-0.00011293243756195514,-0.000953135568432622,0.003188080393702716,0.026806343523826232,0.011229991044753775,0.004988321670662561,-0.003997520197243729,0.004475482009845383,0.0038291984465282755,-0.006503510880094296,-0.011200008331885595,-0.04390039088006219,0.010425061835253695,0.019948946995729928
6,-0.005371863531825143,-1.6279628445534236e-06,-8.285840034073387e-05,-0.0006567073276655118,0.0011072627559894092,-0.0012239288003829145,0.01246076570530826,0.030427939756754292,0.008769202661834908,0.0007744974094933621,-2.9922458722582522e-05,-0.00519223874018159,-0.007944909486332736,-0.006184717703239752,-0.005634967403848744,-0.12652989424166272,0.02341520411925618,0.00349727753623095
7,0.0017425493881575368,2.6768763931927537e-06,-1.167587504842395e-05,0.0010421468939202662,-0.0006917587002315474,-0.0008246788795074581,0.0017191523801851401,0.02813759492768915,0.009814411882820792,-0.0006012534641165807,0.0011685033580299546,0.004246279280488985,-0.006803583636790312,-0.007665683310252191,-0.0069696887585049255,-0.03184100420384713,0.0072364236731947895,0.004519332337241401
8,0.021300649803964095,7.78399446365863e-06,7.277270505978062e-05,0.003057611029740229,-0.002826057911142898,-0.0003510220544961124,0.003775954887756721,0.023325091338580305,0.004550173383634263,0.00020473521842270969,0.00047827882363371695,-0.010039146039789212,0.026558062883431134,-0.006511291988600404,-0.01372002686533615,-0.04296362644501871,0.005475241299044566,0.016202011468651148
9,-0.00171498354949417,4.46160933415882e-06,1.783551682804696e-05,0.001746470777743353,-0.0014376106768324909,-0.0006591548155153298,0.0016438918640838348,0.024911457898495477,0.006515530456175887,0.0027619540983693917,0.0032493600802139364,0.0006036182331877821,-0.0017077943646155898,-0.007530617202899971,-0.020278536638291017,-0.026765540400419455,0.0081900588223727,0.0028793744579398866
