sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance951,left ear wenli variance246,left ear wenli mean214,right ear wenli mean1184
0,0.08798844621125788,0.00017710772355509276,0.00017980995756190348,0.0020024481970202365,-0.004297362846984222,-0.0025936539601634687,-0.032841109259270786,0.09548092224167277,-0.05281083890186908,0.012552573977158348,-0.015945118789708126,0.03810815930747622,0.0034683145195338093,-0.028786562632145612,0.02725070251261671
1,0.02642730521323413,-0.001756620467775764,-3.7882141776284466e-05,-0.018137242348221203,0.009416528306267049,-0.0015972450820038986,0.028478120488460195,0.10599538269233476,-0.0177316469599998,-0.016053305717887437,-0.07057621495595164,0.13026669987899783,-0.03442924072483457,-0.0033093878847468513,0.016108342934783366
2,-0.09661182445573258,-0.0014193451595923092,8.708793373954701e-08,-0.014624535461173753,0.007024590863433446,0.015321775130200839,-0.16015133258837438,0.07727515864234026,-0.008187768888330444,-0.004141941449205093,-0.005257383413971828,0.07238854667365142,0.009697180258026352,-0.03211863821995219,-0.026897042726342777
3,-0.047805064920783714,0.002245844584633602,0.00041270084278839935,0.023548247854096618,-0.018968727863400456,0.03343866948870622,-0.02209992288140123,0.09333166548998485,-0.06095289806325651,0.017971411350284922,-0.1308204894162031,-0.012804522808162005,0.0011555773959508729,-0.08486196889044292,0.08414261247894254
4,0.06229439228386692,-0.0011724862415500715,2.7877568700316827e-05,-0.012053511136249305,0.005273881354507747,-0.0018982369854459089,0.029611060250101223,0.09474483568221144,-0.021110983662736883,-0.0011980165673097848,-0.004220791646943302,-0.019714180828241383,0.01948330406287279,-0.053625671559431064,-0.04825676821194182
5,-0.07268912554989028,-0.0005422815386039216,9.88237261862494e-05,-0.005489958019326434,0.0008045051830188003,-0.002222968022563017,-0.054246551056922936,0.0888470172503127,-0.023596986762289152,-0.028811605584587074,0.04255456495152445,0.06399426100143946,0.002030982477122491,-0.09497266730682341,0.0027199310046174233
6,0.031596254932122335,0.0006833902351087832,0.00023680540464305735,0.007275357366401206,-0.00788788983385279,-0.0028545305361117324,-0.2120252564447691,0.10085044556923395,-0.018426262167307556,-0.004473351031037922,0.0003185317772996887,0.031243151743100765,0.028761573391987524,-0.082410126590746,0.13105964532048053
7,-0.010249336077480886,-0.001123705736787235,3.336910082784398e-05,-0.011545464413360051,0.004927932768911657,-0.0019233725387489532,-0.029252112823300397,0.0932593204925801,-0.020622505071966724,0.0034727266620303396,-0.01243899957769954,0.08898735358133728,0.015759844251589054,-0.04526180230213012,0.0673846168353132
8,-0.12528627308543072,-0.0032675842844953652,-0.0002079809626759032,-0.03387386129508906,0.020132198384352165,-0.0008186776658040451,-0.06424948693638026,0.07730874562142308,-0.009561038888797467,-0.0011825120254696628,-0.005091393229055597,0.04276296931454074,-0.012413628250252592,-0.06777511172449492,0.02108593039036879
9,0.0100871991838935,-0.0018729053074124265,-5.097306684796555e-05,-0.01934834362702793,0.01024121382344562,-0.0015373259852410857,-0.027971522961976927,0.08256660322474849,-0.013690739851079305,-0.01595252619592658,-0.03459022037704642,0.025226502837086797,0.003602784253231338,-0.06700273800830857,-0.020144740490338035
10,0.027314016071846102,-0.0014503872989868407,-3.407523420141257e-06,-0.014947837921194177,0.007244739963358226,-0.0017550404999618992,0.02907206571145463,0.0914895862742075,-0.014758064447939256,-0.043787054934425744,0.02530174838460712,0.012489960347732794,-0.028849671700481496,-0.0456490222978854,-0.04095229880969787
11,0.05175008066927064,0.0008252971580552187,0.0002527807708322275,0.008753311469351783,-0.008894285719223252,-0.002927652145720588,0.03348580024468036,0.08091250980430321,-0.013055470409056089,-0.009727452647113078,-0.017679546844344283,0.0454308340428102,-0.03249244967154672,-0.025953699162665995,-0.004213227448691635
12,-0.02304372664913409,-0.0015055733245771218,-9.620165827040807e-06,-0.015522597850119405,0.007636116141002296,-0.0017266043184473437,0.0289650313349858,0.09524960789114371,-0.01487787995133571,-0.019074753308983408,-0.0020629192430307924,-0.00227817787611956,-0.02264556546851103,0.008553098751491274,0.005758113381344421
13,-0.16455473244000243,-0.0012904956444864304,1.4592498553420137e-05,-0.01328257366283494,0.0061107973772376945,-0.0018374292580107664,-0.018676256330512158,0.07767858788865581,-0.01026711861894429,-0.026836714567700093,0.02167367720000681,0.04923728539151324,0.002610838736188537,-0.002868857985627209,-0.0026830221911083624
14,0.0002010506534577418,0.001001202614624238,0.00027258356850421963,0.010585358742800933,-0.010141797285463714,-0.0030182924742982336,-0.04224006544293973,0.08450256237655836,-0.014530797142247302,-0.02976901104321529,0.04358099405417043,0.028240408597056538,-0.0026279313334496425,-0.019182928180324042,-0.03689970502418014
15,0.06793648661697199,0.0009874061082266678,0.0002710304079024947,0.010441668760569624,-0.010043953241052698,-0.003011183428919594,-0.02222607053938234,0.0917064726105918,-0.012449873849675148,-0.050907515774506924,-0.015945118789708126,-0.060680973935978835,-0.005355034451241243,-0.011186442675666052,0.03883408856449112
16,0.06499563166378594,0.0017023607790436065,0.00035151740908473736,0.017887888911199103,-0.015114371399637899,-0.0033795843162197697,-0.037715951708980525,0.08884074095077817,-0.013008713139437966,-0.0050063196567925235,0.05080664843022284,0.008772809910436366,-0.03401715146685782,0.011989314615637587,-0.0369143553881517
17,-0.0020426313884147683,0.0010982708917785713,0.000283511162737784,0.01159632040349977,-0.010830200026498373,-0.0030683096864265146,-0.019093403699517893,0.0726836193021248,-0.00832242083304803,-0.02607311588207352,0.08131496690688865,0.07060252844552124,0.012084765085233524,-0.027443070416350097,-0.042116750152956205
18,0.08938282988545401,0.001795487197227205,0.0003620012431463803,-0.9711636153898986,0.5765870038855142,0.03329166458605508,0.026177359226418208,0.06713594078087101,-0.026084563423799723,-0.051638167308723205,0.1570573045506562,-0.008071574503617021,0.0008563288774684491,-0.06407854516949925,-0.005789909723012381
19,0.0635417377525919,0.000235250143373424,0.000186355420097744,0.0026079988364235995,-0.004709705605573508,-0.002623613508544876,0.03234139251413195,0.07701876260984954,-0.044054191398481865,-0.036996065608447384,0.09369647967973053,0.014622019607563264,0.00117621031805261,-0.09209971809605431,0.011622300449692678
20,0.01785576438988061,0.00033502844857013727,0.00019758809944950433,0.0036471853150607304,-0.005417327712474617,-0.0026750271403011027,-0.03291087273679064,0.07541506855495603,-0.009380978441854582,-0.05221958762772819,0.0946483825769038,0.005379375276989183,-0.009440922211443076,-0.06512903954432306,-0.052434647868664794
21,0.051162071683349276,0.0015508455748560058,0.0003344603774765088,0.016309864999194575,-0.014039834126195479,0.02370676720706641,-0.028501916523942992,0.0624768461844853,-0.011962744026297828,-0.05405687583578399,0.15966572174219879,-0.010951528896476858,0.004970675840569227,-0.09859319492988848,-0.04348024437224223
22,-0.13091061503261042,0.0005570043818596137,0.00022257734413082774,0.005959054493460848,-0.006991568498444726,-0.0027894066025538444,-0.05412183689505523,0.06865838140678436,-0.010284427800485612,-0.07476319146328189,0.21455765962759651,0.005937505973279829,0.010251565530497843,-0.0812273905951733,-0.0051740892512415005
23,-0.18529503038936515,-0.003965293322315341,-0.0002865265131059897,-0.0411404689679294,0.025080311487423596,0.009772276581500925,-0.17091879972832333,0.06692836013147223,-0.05802674720451051,-0.02702470713751171,0.06266986531955036,0.1047266392167355,-0.002596626210260801,-0.08101952329755868,0.04797490531282792
