feature,abs_r,r,p_value
left ear wenli mean917,0.048746445842436856,0.048746445842436856,0.5404526343705324
left ear wenli mean162,0.048745396812145764,0.048745396812145764,0.5404613596866055
left ear wenli mean1588,0.04874319341398449,0.04874319341398449,0.5404796866918998
left ear wenli mean68,0.04873877360992316,0.04873877360992316,0.5405164498237037
left ear wenli mean709,0.04873624492619296,0.04873624492619296,0.5405374835151349
left ear wenli mean1620,0.048730759335163,0.048730759335163,0.5405831142720492
left ear wenli mean1612,0.048727901917171405,0.048727901917171405,0.5406068838694932
left ear wenli mean38,0.0487250483263766,0.0487250483263766,0.5406306221466695
left ear wenli mean1604,0.048724039644158855,0.048724039644158855,0.5406390132342868
left ear wenli mean1524,0.04872143299334933,0.04872143299334933,0.5406606978998737
face wenli mean104,0.04871751405210477,0.04871751405210477,0.5406933002885409
left ear guangpu mean159,0.04871370281948822,0.04871370281948822,0.5407250075630262
right ear wenli variance440,0.04871304760693557,0.04871304760693557,0.5407304586492678
left ear wenli mean44,0.048711007226531065,0.048711007226531065,0.5407474339097212
left ear wenli mean1628,0.04871071395271334,0.04871071395271334,0.5407498738683083
right ear wenli mean1335,0.04870676051146814,-0.04870676051146814,0.5407827659587068
left ear wenli mean1517,0.048705915804708365,0.048705915804708365,0.5407897939318252
left ear wenli mean981,0.04870573945119496,0.04870573945119496,0.54079126120145
left ear wenli mean52,0.0487026679300246,0.0487026679300246,0.5408168167198412
left ear wenli mean60,0.0487026596921446,0.0487026596921446,0.5408168852610475
left ear wenli mean1365,0.04869504636249011,0.04869504636249011,0.5408802318907344
left ear wenli mean989,0.04869256790367933,0.04869256790367933,0.5409008546737002
face wenli variance654,0.04869149213154474,-0.04869149213154474,0.5409098060895384
left ear wenli mean1532,0.04868592324939606,0.04868592324939606,0.5409561454947178
left ear wenli mean1229,0.048684991262634356,0.048684991262634356,0.5409639008717894
left ear wenli mean1533,0.048683480573229715,0.048683480573229715,0.5409764719461728
left ear wenli mean1210,0.048665842483338294,0.048665842483338294,0.5411232565197621
left ear wenli mean629,0.0486585722949894,0.0486585722949894,0.5411837649225191
left ear wenli mean1061,0.04865854312731026,0.04865854312731026,0.5411840076863379
left ear wenli mean189,0.048656810608874064,0.048656810608874064,0.541198427606731
left ear wenli mean4,0.048655858741268064,0.048655858741268064,0.5412063501748191
left ear wenli mean5,0.04865584844640988,0.04865584844640988,0.5412064358611176
left ear wenli mean28,0.04865583396915842,0.04865583396915842,0.5412065563583802
left ear wenli mean29,0.04865428778859797,0.04865428778859797,0.5412194256265507
left ear guangpu mean41,0.048648767884054894,0.048648767884054894,0.5412653704813011
